vertrag;opbel;tariftyp;classe;anlage;anomes;vkont;city1;ClasseTxt;Subclasse;Modalidade;Subgrupo;tipofat;Consumo;Demanda;billing_period;DiasFatura;De;Ate;belnr;ablbelnr;MotivoLeitura;UnidadeLeitura;eq1;Registrador;DataLeitura;TipoLeitura;Leitura;StatusLeitura;NotaDeLeitura;Medicao;FlagGD;Operando;Fator;DataAte;DataDe;InscricaoEstadual;DataLigacaoUC;DataEncerramentoContrato
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;8;26/09/2022;1;0;4; ;-287;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;8;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;9;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;9;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;10;30/09/2022;1;2;4; ;2;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;10;31/10/2022;1;7;1; ;-208652;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;10;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;10;26/09/2022;1;0;4; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;11;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;11;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;11;30/09/2022;1;11;1; ;11;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;11;31/10/2022;1;17;1; ;17;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;12;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;12;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;13;31/10/2022;1;4485;1; ;-2390;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;13;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;13;30/09/2022;1;4478;1; ;4291;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;13;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;14;30/09/2022;1;0;1; ;-9901;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;14;31/10/2022;1;0;4; ;-1958;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;14;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;14;26/09/2022;1;0;4; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;15;31/10/2022;1;26885;1; ;11033;Com GD;NA;null;null;null; ;20220826;99991231
